🕘️更新时间,#genre#
重温经典,http://183.215.134.239:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
TVBPLUS,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
CHC动作电影,http://123.235.210.222:4004/udp/239.253.254.153:8000
CHC动作电影,http://183.184.146.232:8003/rtp/226.0.2.94:8012
CHC动作电影,http://123.235.210.222:4000/udp/239.253.254.153:8000
CHC动作电影,http://183.184.146.232:8001/rtp/226.0.2.94:8012
CHC动作电影,http://123.235.208.181:4001/udp/239.253.254.153:8000
CHC动作电影,http://123.235.208.181:4002/udp/239.253.254.153:8000
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC影迷电影,http://eastscreen.tv/ooooo.php?id=chchd
Nick Jr,http://pitv.jun1.xyz:6699/live.php?token=c7127ede2501caa1433d26cf4258f9f22768766b786d35cdadb5ac79a1435484&id=Nickjr
Nick Jr,https://smt.go-iptv.ggff.net/smart.php?id=Nickjr&token=Goiptv
Nick Jr,https://live.catvod.com/live.php?id=Nickjr
Nick Jr,http://dreamdeu.sylu.net:8080/smt.php?id=Nickjr
Nick Jr,https://smart.dxjc.pp.ua/smart.php?id=Nickjr&token=tmxk
Nick Jr,https://111.iptv543.com/live.php?id=Nickjr

📺央视频道,#genre#
CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225812/index.m3u8
CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8
CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8
CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227243/index.m3u8
CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV-3综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227445/index.m3u8
CCTV-3综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227256/index.m3u8
CCTV-4国际,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV-4国际,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227441/index.m3u8
CCTV-4国际,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227225/index.m3u8
CCTV-5体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227430/index.m3u8
CCTV-5体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227283/index.m3u8
CCTV-5体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227229/index.m3u8
CCTV-5+赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV-5+赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV-6电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227438/index.m3u8
CCTV-6电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227260/index.m3u8
CCTV-6电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227275/index.m3u8
CCTV-7军事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/index.m3u8
CCTV-7军事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
CCTV-7军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227266/index.m3u8
CCTV-8电视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227449/index.m3u8
CCTV-9纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225820/index.m3u8
CCTV-9纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
CCTV-10科教,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/index.m3u8
CCTV-10科教,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
CCTV-11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV-11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227233/index.m3u8
CCTV-13新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227237/index.m3u8
CCTV-13新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227279/index.m3u8
CCTV-13新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227460/index.m3u8
CCTV-13新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV-14少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8
CCTV-14少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225819/index.m3u8
CCTV-15音乐,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227270/index.m3u8
CCTV-15音乐,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV-16奥匹,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8
CCTV-16奥匹,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227148/index.m3u8
CCTV-16奥匹,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227216/index.m3u8
CGTN纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225813/index.m3u8
CGTN,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225822/index.m3u8
CGTN俄语,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227103/index.m3u8
CGTN阿语,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227224/index.m3u8
CGTN法语,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227220/index.m3u8
CGTN西语,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227238/index.m3u8
CETV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227067/index.m3u8
CETV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227323/index.m3u8
CETV2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227206/index.m3u8
CETV4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227192/index.m3u8

📡卫视频道,#genre#
北京卫视4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227514/index.m3u8
广东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227164/index.m3u8
广东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/index.m3u8
广东卫视,http://115.171.216.84:4000/udp/225.1.8.49:8048
广东卫视,http://183.184.146.232:8001/rtp/226.0.2.146:9080
广东卫视,http://123.235.210.222:4000/udp/239.253.254.90:8000
广东卫视,http://123.235.210.222:4004/udp/239.253.254.90:8000
广东卫视,http://123.235.208.181:4002/udp/239.253.254.90:8000
广东卫视,http://123.235.208.181:4001/udp/239.253.254.90:8000
广东卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000520/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000520
广东卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/index.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227193/index.m3u8
浙江卫视,http://183.184.146.232:8001/rtp/226.0.2.144:9064
浙江卫视,http://183.184.146.232:8003/rtp/226.0.2.144:9064
浙江卫视,http://123.235.208.181:4002/udp/239.253.254.84:8000
浙江卫视,http://123.235.210.222:4000/udp/239.253.254.84:8000
浙江卫视,http://123.235.210.222:4004/udp/239.253.254.84:8000
浙江卫视,http://123.235.208.181:4001/udp/239.253.254.84:8000
浙江卫视,http://125.108.127.198:7778/udp/233.50.201.100:5140
浙江卫视,http://115.171.216.84:4000/udp/225.1.8.46:8036
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227232/index.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226859/index.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/index.m3u8
湖南卫视,http://123.235.210.222:4000/udp/239.253.254.82:8000
湖南卫视,http://113.65.124.202:9527/udp/239.77.1.5:5146
湖南卫视,http://123.235.208.181:4001/udp/239.253.254.82:8000
湖南卫视,http://123.235.208.181:4002/udp/239.253.254.82:8000
湖南卫视,http://123.235.210.222:4004/udp/239.253.254.82:8000
湖南卫视,http://115.171.216.84:4000/udp/225.1.8.41:8012
湖南卫视,http://118.79.12.50:6000/rtp/226.0.2.143:9056
北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225826/index.m3u8
北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227246/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227111/index.m3u8
湖北卫视,http://183.184.146.232:8003/rtp/226.0.2.150:9112
湖北卫视,http://123.235.210.222:4000/udp/239.253.254.88:8000
湖北卫视,http://115.171.216.84:4000/udp/225.1.8.47:8044
湖北卫视,http://118.79.12.50:6000/rtp/226.0.2.150:9112
湖北卫视,http://123.235.208.181:4001/udp/239.253.254.88:8000
湖北卫视,http://123.235.208.181:4002/udp/239.253.254.88:8000
湖北卫视,http://123.235.210.222:4004/udp/239.253.254.88:8000
湖北卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000522/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000522
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225862/index.m3u8
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8
黑龙江卫视,http://123.235.210.222:4000/udp/239.253.254.93:8000
黑龙江卫视,http://123.235.210.222:4004/udp/239.253.254.93:8000
黑龙江卫视,http://123.235.208.181:4001/udp/239.253.254.93:8000
黑龙江卫视,http://183.184.146.232:8001/rtp/226.0.2.151:9120
黑龙江卫视,http://123.235.208.181:4002/udp/239.253.254.93:8000
黑龙江卫视,http://115.171.216.84:4000/udp/225.1.8.42:8016
黑龙江卫视,http://113.65.124.202:9527/udp/239.77.0.124:5146
黑龙江卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181356BESTVSMGSMG/index.m3u8?m3u8_level=2
安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227178/index.m3u8
安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/index.m3u8
安徽卫视,http://123.235.210.222:4000/udp/239.253.254.87:8000
安徽卫视,http://123.235.208.181:4002/udp/239.253.254.87:8000
安徽卫视,http://123.235.208.181:4001/udp/239.253.254.87:8000
安徽卫视,http://123.235.210.222:4004/udp/239.253.254.87:8000
安徽卫视,http://183.184.146.232:8001/rtp/226.0.2.145:9072
安徽卫视,http://115.171.216.84:4000/udp/225.1.8.52:8064
安徽卫视,http://125.108.127.198:7778/udp/233.50.201.113:5140
安徽卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000514/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000514
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/index.m3u8
重庆卫视,http://123.235.208.181:4002/udp/239.253.254.38:8000
重庆卫视,http://123.235.208.181:4001/udp/239.253.254.38:8000
重庆卫视,http://123.235.210.222:4000/udp/239.253.254.38:8000
重庆卫视,http://113.65.124.202:9527/udp/239.77.1.162:5146
重庆卫视,http://125.108.127.198:7778/udp/233.50.200.114:5140
重庆卫视,http://183.184.146.232:8003/rtp/226.0.2.174:9304
重庆卫视,http://183.184.146.232:8001/rtp/226.0.2.174:9304
重庆卫视,http://115.171.216.84:4000/udp/225.1.8.172:8162
重庆卫视,http://118.251.97.221:8888/udp/239.76.253.92:9000
东方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225828/index.m3u8
东方卫视,http://123.235.208.181:4002/udp/239.253.254.86:8000
东方卫视,http://183.184.146.232:8003/rtp/226.0.2.175:9312
东方卫视,http://118.79.12.50:6000/rtp/226.0.2.175:9312
东方卫视,http://123.235.210.222:4000/udp/239.253.254.86:8000
东方卫视,http://123.235.208.181:4001/udp/239.253.254.86:8000
东方卫视,http://118.251.97.221:8888/udp/239.76.253.186:9000
东方卫视,http://123.235.210.222:4004/udp/239.253.254.86:8000
东方卫视,http://115.171.216.84:4000/udp/225.1.8.45:8032
东方卫视,http://113.65.124.202:9527/udp/239.77.1.218:5146
东南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8
东南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225833/index.m3u8
甘肃卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227262/index.m3u8
甘肃卫视,http://123.235.208.181:4002/udp/239.253.254.74:8000
甘肃卫视,http://123.235.210.222:4000/udp/239.253.254.74:8000
甘肃卫视,http://123.235.210.222:4004/udp/239.253.254.74:8000
甘肃卫视,http://123.235.208.181:4001/udp/239.253.254.74:8000
甘肃卫视,http://113.65.124.202:9527/udp/239.77.0.189:5146
甘肃卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000023/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000023
甘肃卫视,http://[2409:8087:74f0:22::7]:6410/270000001111/1110000322/index.m3u8?channel-id=newtv&livemode=4&Contentid=1110000322
甘肃卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
甘肃卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8
广西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227250/index.m3u8
广西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225836/index.m3u8
广西卫视,http://123.235.208.181:4001/udp/239.253.254.197:8000
广西卫视,http://123.235.210.222:4000/udp/239.253.254.197:8000
广西卫视,http://118.79.12.50:6000/rtp/226.0.2.231:9760
广西卫视,http://113.65.124.202:9527/udp/239.253.43.36:5146
广西卫视,http://123.235.208.181:4002/udp/239.253.254.197:8000
广西卫视,http://123.235.210.222:4004/udp/239.253.254.197:8000
广西卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000034/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000034
广西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227201/index.m3u8
贵州卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225838/index.m3u8
贵州卫视,http://123.235.210.222:4004/udp/239.253.254.113:8000
贵州卫视,http://123.235.208.181:4002/udp/239.253.254.113:8000
贵州卫视,http://123.235.210.222:4000/udp/239.253.254.113:8000
贵州卫视,http://183.184.146.232:8003/rtp/226.0.2.180:9352
贵州卫视,http://183.184.146.232:8001/rtp/226.0.2.180:9352
贵州卫视,http://123.235.208.181:4001/udp/239.253.254.113:8000
贵州卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000036/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000036
贵州卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
海南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225855/index.m3u8
海南卫视,http://123.235.210.222:4004/udp/239.253.254.179:8000
海南卫视,http://183.184.146.232:8001/rtp/226.0.2.212:9608
海南卫视,http://123.235.208.181:4001/udp/239.253.254.179:8000
海南卫视,http://123.235.210.222:4000/udp/239.253.254.179:8000
海南卫视,http://123.235.208.181:4002/udp/239.253.254.179:8000
海南卫视,http://183.184.146.232:8003/rtp/226.0.2.212:9608
海南卫视,http://118.79.12.50:6000/rtp/226.0.2.212:9608
海南卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000037/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000037
海南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227063/index.m3u8
河北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225837/index.m3u8
河北卫视,http://125.108.127.198:7778/udp/233.50.201.140:5140
河北卫视,http://118.79.12.50:6000/rtp/226.0.2.178:9336
河北卫视,http://123.235.208.181:4002/udp/239.253.254.112:8000
河北卫视,http://123.235.210.222:4000/udp/239.253.254.112:8000
河北卫视,http://123.235.208.181:4001/udp/239.253.254.112:8000
河北卫视,http://183.184.146.232:8001/rtp/226.0.2.178:9336
河北卫视,http://115.171.216.84:4000/udp/225.1.8.76:8002
河北卫视,http://123.235.210.222:4004/udp/239.253.254.112:8000
河南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227095/index.m3u8
河南卫视,http://123.235.208.181:4002/udp/239.253.254.190:8000
河南卫视,http://118.79.12.50:6000/rtp/226.0.2.52:8328
河南卫视,http://183.184.146.232:8003/rtp/226.0.2.52:8328
河南卫视,http://125.108.127.198:7778/udp/233.50.201.144:5140
河南卫视,http://123.235.210.222:4004/udp/239.253.254.190:8000
河南卫视,http://123.235.208.181:4001/udp/239.253.254.190:8000
河南卫视,http://123.235.210.222:4000/udp/239.253.254.190:8000
河南卫视,http://118.251.97.221:8888/udp/239.76.253.202:9000
河南卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000027/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000027
吉林卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8
吉林卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225851/index.m3u8
吉林卫视,http://123.235.210.222:4004/udp/239.253.254.173:8000
吉林卫视,http://123.235.208.181:4002/udp/239.253.254.173:8000
吉林卫视,http://123.235.210.222:4000/udp/239.253.254.173:8000
吉林卫视,http://123.235.208.181:4001/udp/239.253.254.173:8000
吉林卫视,http://183.184.146.232:8001/rtp/226.0.2.58:8376
吉林卫视,http://183.184.146.232:8003/rtp/226.0.2.58:8376
吉林卫视,http://118.79.12.50:6000/rtp/226.0.2.58:8376
吉林卫视,http://118.251.97.221:8888/udp/239.76.246.201:1234
江苏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225847/index.m3u8
江苏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227160/index.m3u8
江苏卫视,http://123.235.210.222:4004/udp/239.253.254.83:8000
江苏卫视,http://115.171.216.84:4000/udp/225.1.8.44:8028
江苏卫视,http://123.235.210.222:4000/udp/239.253.254.83:8000
江苏卫视,http://123.235.208.181:4001/udp/239.253.254.83:8000
江苏卫视,http://123.235.208.181:4002/udp/239.253.254.83:8000
江苏卫视,http://183.184.146.232:8001/rtp/226.0.2.176:9320
江苏卫视,http://118.79.12.50:6000/rtp/226.0.2.176:9320
江苏卫视,http://125.108.127.198:7778/udp/233.50.201.106:5140
江西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227209/index.m3u8
江西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225834/index.m3u8
江西卫视,http://115.171.216.84:4000/rtp/225.1.1.9:8164
江西卫视,http://115.171.216.84:4000/udp/225.1.8.171:8166
江西卫视,http://123.235.210.222:4000/udp/239.253.254.47:8000
江西卫视,http://123.235.208.181:4002/udp/239.253.254.47:8000
江西卫视,http://183.184.146.232:8001/rtp/226.0.2.54:8344
江西卫视,http://123.235.210.222:4004/udp/239.253.254.47:8000
江西卫视,http://123.235.208.181:4001/udp/239.253.254.47:8000
江西卫视,http://118.79.12.50:6000/rtp/226.0.2.54:8344
辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225832/index.m3u8
辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227141/index.m3u8
辽宁卫视,http://123.235.210.222:4004/udp/239.253.254.92:8000
辽宁卫视,http://115.171.216.84:4000/udp/225.1.8.51:8056
辽宁卫视,http://123.235.210.222:4000/udp/239.253.254.92:8000
辽宁卫视,http://113.65.124.202:9527/udp/239.77.1.103:5146
辽宁卫视,http://123.235.208.181:4002/udp/239.253.254.92:8000
辽宁卫视,http://123.235.208.181:4001/udp/239.253.254.92:8000
辽宁卫视,http://118.79.12.50:6000/rtp/226.0.2.173:9296
辽宁卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000526/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000526
内蒙古卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225846/index.m3u8
内蒙古卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225842/index.m3u8
内蒙古卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227244/index.m3u8
内蒙古卫视,http://121.226.86.41:55555/rtp/239.49.0.180:8000
内蒙古卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001068/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
宁夏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225849/index.m3u8
宁夏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227254/index.m3u8
宁夏卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
宁夏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001074/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
青海卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225841/index.m3u8
青海卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227119/index.m3u8
青海卫视,http://123.235.210.222:4004/udp/239.253.254.195:8000
青海卫视,http://123.235.208.181:4001/udp/239.253.254.195:8000
青海卫视,http://123.235.210.222:4000/udp/239.253.254.195:8000
青海卫视,http://123.235.208.181:4002/udp/239.253.254.195:8000
青海卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000042/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000042
青海卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8
青海卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001450/index.m3u8
山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/index.m3u8
山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227236/index.m3u8
山东卫视,http://123.235.210.222:4000/udp/239.253.254.78:8000
山东卫视,http://183.184.146.232:8001/rtp/226.0.2.149:9104
山东卫视,http://123.235.208.181:4001/udp/239.253.254.78:8000
山东卫视,http://123.235.208.181:4002/udp/239.253.254.78:8000
山东卫视,http://113.65.124.202:9527/udp/239.77.1.142:5146
山东卫视,http://183.184.146.232:8003/rtp/226.0.2.149:9104
山东卫视,http://125.108.127.198:7778/udp/233.50.201.105:5140
山东卫视,http://118.79.12.50:6000/rtp/226.0.2.149:9104
山西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227258/index.m3u8
山西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225839/index.m3u8
山西卫视,http://118.79.12.50:6000/rtp/226.0.2.152:9128
山西卫视,http://183.184.146.232:8001/rtp/226.0.2.152:9128
山西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
山西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001070/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
山西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226009/index.m3u8
陕西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225850/index.m3u8
陕西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227221/index.m3u8
陕西卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/shan3xiws/57/20220809/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
陕西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
陕西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001067/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
陕西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225989/index.m3u8
四川卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227182/index.m3u8
四川卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225835/index.m3u8
四川卫视,http://125.108.127.198:7778/udp/233.50.201.139:5140
四川卫视,http://123.235.208.181:4002/udp/239.253.254.180:8000
四川卫视,http://123.235.210.222:4004/udp/239.253.254.180:8000
四川卫视,http://123.235.208.181:4001/udp/239.253.254.180:8000
四川卫视,http://183.236.43.98:4013/udp/239.77.1.215:5146
